NOAA_FIP,NOAA_Zone,County,FIP,Latitude,Longitude,NOAA ID,County Name,Date,Type,Direct Deaths,Direct Injuries,Property Damage,Crop Damage,Indirect Injuries,Indirect Deaths
045,Ventura County Coastal Valleys,Ventura,111,34.2538,-118.8399,439713.0,VENTURA COUNTY COASTAL VALLEYS (ZONE),05/02/2013,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
045,Ventura County Coastal Valleys,Ventura,111,34.2538,-118.8399,795851.0,VENTURA COUNTY COASTAL VALLEYS (ZONE),11/08/2018,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
045,Ventura County Coastal Valleys,Ventura,111,34.2538,-118.8399,795861.0,VENTURA COUNTY COASTAL VALLEYS (ZONE),11/08/2018,Wildfire,3.0,0.0,0.0,0.0,0.0,0.0
045,Ventura County Coastal Valleys,Ventura,111,34.2538,-118.8399,861473.0,VENTURA COUNTY COASTAL VALLEYS (ZONE),10/30/2019,Wildfire,0.0,3.0,0.0,0.0,0.0,0.0
045,Ventura County Coastal Valleys,Ventura,111,34.2538,-118.8399,861476.0,VENTURA COUNTY COASTAL VALLEYS (ZONE),10/31/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
045,Ventura County Coastal Valleys,Ventura,111,34.2538,-118.8399,863910.0,VENTURA COUNTY COASTAL VALLEYS (ZONE),11/01/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
045,Ventura County Coastal Valleys,Ventura,111,34.2538,-118.8399,863914.0,VENTURA COUNTY COASTAL VALLEYS (ZONE),11/01/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
046,Santa Monica Mountains Recreational Area,Los Angeles,037,34.0839,-118.6898,795858.0,SANTA MONICA MOUNTAINS RECREATION AREA (ZONE),11/08/2018,Wildfire,3.0,0.0,0.0,0.0,0.0,0.0
046,Santa Monica Mountains Recreational Area,Los Angeles,037,34.0839,-118.6898,861470.0,SANTA MONICA MOUNTAINS RECREATION AREA (ZONE),10/28/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,234746.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),05/20/2010,Wildfire,0.0,0.0,0.0,0.0,1.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,250175.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),07/15/2010,Wildfire,0.0,1.0,17500.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,250171.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),07/15/2010,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,250178.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),07/15/2010,Wildfire,0.0,0.0,8000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,250163.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),07/17/2010,Wildfire,0.0,1.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,257607.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),08/03/2010,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,340268.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),08/06/2011,Wildfire,0.0,4.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,386402.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),06/16/2012,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,386406.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),06/17/2012,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,398052.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),08/01/2012,Wildfire,0.0,3.0,200000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,407808.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),08/20/2012,Wildfire,0.0,0.0,0.0,0.0,2.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,413262.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),09/06/2012,Wildfire,0.0,1.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,438666.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),03/01/2013,Wildfire,0.0,0.0,15000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,448553.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),05/01/2013,Wildfire,0.0,0.0,400000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,448564.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),05/02/2013,Wildfire,0.0,0.0,550000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,511806.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),04/30/2014,Wildfire,0.0,0.0,6000.0,0.0,3.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,522306.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),05/01/2014,Wildfire,0.0,0.0,6000.0,0.0,3.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,652430.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),07/18/2016,Wildfire,0.0,1.0,50000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,687976.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),04/30/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,758142.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),05/17/2018,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,850022.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),08/15/2019,Wildfire,0.0,0.0,400000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,858107.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),09/04/2019,Wildfire,0.0,3.0,100000.0,0.0,0.0,0.0
048,San Bernardino and Riverside County Valleys -The Inland Empire,Riverside,065,33.8486,-117.2412,858118.0,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),09/14/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
